match_id,prompt
49,"Akali, Fiora, GAM Esports, Gangplank, Humanoid, Jayce, Jhin, Jinx, Kaisa, Kiaya, Kobbe, LeBlanc, Lee Sin, Levi, Nautilus, Pantheon, Qiyana, Renekton, Ryze, Slay, Splyce, Syndra, Thresh, Tore, Tristana, Veigar, Vizicsacsi, Xayah, Xerxe, Yuumi, ZerosS, Zin"
50,"Akali, Chogath, Crisp, Doinb, Funplus Phoenix, Galio, Gangplank, GimGoon, Gragas, Humanoid, Kaisa, Kayle, Kobbe, LeBlanc, Lee Sin, Lwx, Nautilus, Nocturne, Olaf, Pantheon, Qiyana, Rakan, RekSai, Renekton, Rumble, Ryze, Splyce, Tian, Tore, Vizicsacsi, Xayah, Xerxe"
51,"Akali, Alistar, Azir, FoFo, GAM Esports, Gragas, Hana, Heimerdinger, J Team, Jayce, Kaisa, Kiaya, Koala, LeBlanc, Lee Sin, Levi, LilV, Nautilus, Pantheon, Qiyana, Renekton, Rest, Ryze, Slay, Syndra, Tristana, Veigar, Volibear, Xayah, Yuumi, ZerosS, Zin"
52,"Akali, Alistar, Blitzcrank, Cassiopeia, FoFo, Gangplank, Gnar, Gragas, Hana, Humanoid, J Team, Jarvan IV, Kaisa, Kayle, Kled, Koala, Kobbe, LilV, Morgana, Nautilus, Pantheon, Qiyana, Rakan, Rest, Splyce, Syndra, Thresh, Tore, Tristana, Vizicsacsi, Xayah, Xerxe"
53,"Akali, Crisp, Doinb, Elise, Funplus Phoenix, GAM Esports, Gangplank, GimGoon, Gragas, Heimerdinger, Kaisa, Karthus, Kayle, Kiaya, Kled, LeBlanc, Levi, Lwx, Malphite, Nautilus, Nocturne, Pantheon, Renekton, Ryze, Shen, Slay, Syndra, Tian, Xayah, Yuumi, ZerosS, Zin"
54,"3z, Akali, Caps, Crash, Elise, G2 Esports, Gangplank, Gragas, Hong Kong Attitude, Irelia, Jankos, Kaiwing, Kayle, LeBlanc, Lee Sin, Mikyx, Mission, Orianna, Pantheon, Perkz, Qiyana, Rakan, Renekton, Syndra, Thresh, Tristana, Twisted Fate, Unified, Vladimir, Wunder, Xayah, Yasuo"
55,"Akali, Blaber, Chovy, Cloud9, Elise, Ezreal, Fiora, Gangplank, Garen, Griffin, Jayce, Kayle, Kennen, LeBlanc, Lee Sin, Lehends, Licorice, Nisqy, Pantheon, Renekton, Sneaky, Sona, Sw0rd, Tahm Kench, Tarzan, Tristana, Twisted Fate, Viper, Yasuo, Yuumi, Zeyzal, Zoe"
56,"Akali, Elise, FoFo, Gangplank, Gragas, Hana, Humanoid, J Team, Jarvan IV, Kaisa, Karthus, Kayle, Koala, Kobbe, LeBlanc, Leona, LilV, Nautilus, Olaf, Pantheon, Qiyana, Rest, Sion, Splyce, Syndra, Tore, Tristana, Vizicsacsi, Vladimir, Xayah, Xerxe, Yasuo"
57,"Akali, Crisp, Doinb, Ezreal, Funplus Phoenix, GAM Esports, Galio, GimGoon, Jayce, Kaisa, Kayle, Kennen, Kiaya, LeBlanc, Lee Sin, Leona, Levi, Lucian, Lwx, Nautilus, Nocturne, Pantheon, Qiyana, Renekton, Ryze, Slay, Tian, Vayne, Xayah, Yuumi, ZerosS, Zin"
58,"Aatrox, Akali, Clid, Clutch Gaming, Cody Sun, Damonte, Effort, Elise, Faker, Gragas, Huni, Kaisa, Kayle, Khan, Lee Sin, Lira, Morgana, Pantheon, Qiyana, Rakan, Renekton, Rumble, Ryze, SK Telecom T1, Sejuani, Skarner, Taliyah, Teddy, Vladimir, Vulcan, Xayah, Yasuo"
59,"Blitzcrank, Broxah, Bwipo, Fnatic, Gangplank, Gnar, Gragas, Hylissang, Karma, Karsa, Kayle, Langx, Lee Sin, Ming, Morgana, Nemesis, Pantheon, Pyke, Qiyana, RekSai, Rekkles, Renekton, Royal Never Give Up, Ryze, Shen, Syndra, Twisted Fate, Uzi, Vladimir, Xayah, Yuumi, xiaohu"
60,"Aatrox, Akali, Blaber, Caps, Cassiopeia, Cloud9, Elise, G2 Esports, Galio, Heimerdinger, Jankos, Kled, Licorice, Mikyx, Nautilus, Nisqy, Pantheon, Perkz, Qiyana, Rakan, Renekton, Sneaky, Syndra, Tristana, Veigar, Vladimir, Wunder, Xayah, Yasuo, Yuumi, Zeyzal, Zoe"
61,"3z, Akali, Chovy, Crash, Ezreal, Griffin, Hong Kong Attitude, Irelia, Jayce, Kaisa, Kaiwing, LeBlanc, Lee Sin, Lehends, Leona, Lucian, Mission, Nautilus, Pantheon, Qiyana, Quinn, Rakan, RekSai, Renekton, Sion, Sw0rd, Syndra, Tarzan, Thresh, Tristana, Unified, Viper"
62,"Akali, Elise, FoFo, GAM Esports, Gangplank, Gragas, Hana, Heimerdinger, Irelia, J Team, Jayce, Kaisa, Kiaya, Kled, Koala, LeBlanc, Lee Sin, Levi, LilV, Lucian, Nautilus, Nocturne, Pantheon, Qiyana, Rest, Slay, Syndra, Thresh, Xayah, Yuumi, ZerosS, Zin"
63,"Alistar, Blitzcrank, Crisp, Doinb, Ezreal, Funplus Phoenix, Gangplank, GimGoon, Gragas, Humanoid, Jhin, Kaisa, Kayle, Kobbe, Lee Sin, Leona, Lwx, Nautilus, Pantheon, Qiyana, Renekton, Ryze, Splyce, Syndra, Thresh, Tian, Tore, Tristana, Veigar, Vizicsacsi, Xayah, Xerxe"
